,,Total,A1 Are you...?,,A2 What is your age?,,,,,,A3 What is your ethnic group?,,,,,,,,,,,A6 Which region or nation do you live in?,,,,,,,,,,,,"Q2 More specifically, what is the highest level of educational qualifications you have achieved?",,,,,,,,Q4 Thinking about the property you live in. Does your household own or rent this accommodation?,,,,,,,Q8 What is your religion?,,,,,,,,Q13 Were either of your parents born outside the United Kingdom?,,,A5 Were you born in the UK?,,"Q48 Some people say the following things are important for being ""truly British'.   Which of the following do you think is most important? Please select up to three. |",,,,,,,,,,,,"Q51.1_2: Q51.1 How much discrimination is there for or against the following groups? Please answer on a scale of 0 to 10, where 0 means 'none at all' and 10 means 'a significant amount'.  | Black and minority ethnic people",,,"Q51.2_2: Q51.2 How much discrimination is there for or against the following groups? Please answer on a scale of 0 to 10, where 0 means 'none at all' and 10 means 'a significant amount'.  | White people",,,"Q51.3_2: Q51.3 How much discrimination is there for or against the following groups? Please answer on a scale of 0 to 10, where 0 means 'none at all' and 10 means 'a significant amount'.  | Poor people",,,"Q51.4_2: Q51.4 How much discrimination is there for or against the following groups? Please answer on a scale of 0 to 10, where 0 means 'none at all' and 10 means 'a significant amount'.  | Old people",,,"Q51.5_2: Q51.5 How much discrimination is there for or against the following groups? Please answer on a scale of 0 to 10, where 0 means 'none at all' and 10 means 'a significant amount'.  | Young people",,,"Q51.6_2: Q51.6 How much discrimination is there for or against the following groups? Please answer on a scale of 0 to 10, where 0 means 'none at all' and 10 means 'a significant amount'.  | People on welfare benefits",,,"Q51.7_2: Q51.7 How much discrimination is there for or against the following groups? Please answer on a scale of 0 to 10, where 0 means 'none at all' and 10 means 'a significant amount'.  | LGBTQ+ people",,
,,,Male,Female,18 - 24,25 - 34,35 - 44,45 - 54,55 - 64,65+,Asian / Asian British: Bangladeshi,Asian / Asian British: Chinese,Asian / Asian British: Indian,Asian / Asian British: Pakistani,Arab,Black / Black British: African,Black / Black British: Caribbean,Mixed or multiple ethnic groups,Any other ethnic group,Asian / Asian British: Other,Black / Black British: Other,East Midlands,East of England,Greater London,North East England,North West England,Scotland,South East England,South West England,Wales,West Midlands,Yorkshire and The Humber,Yorkshire and the Humber ,No formal qualifications,1-4 GCSEs or equivalent,5 or more GCSEs or equivalent,2 or more A-levels or equivalent,Apprenticeship,Professional qualifications,Other qualifications including foreign qualifications,"Bachelor's degree, or higher degrees, and equivalent",Rents from a private landlord,Rents from the council or a housing association,Part-owns or part-rents (shared ownership),Owns with a mortgage or loan,Owns outright,Lives here rent-free,Other ,Buddhist,Christian,Hindu,Jewish,Muslim,No religion,Sikh,Any other religion,Yes,No,Don't know,Born outside the UK,Born in the UK,To have been born in Britain,To respect Britain's political institutions and laws,To have British ancestry,To be able to speak English/Welsh/Gaelic,"To appreciate British culture (e.g. music, food, literature)",Being Christian,Having British citizenship,Work and pay taxes in Britain,Being white,Having parents who were born in Britain,Considering yourself to be British,None of the above,0 - 3,04-Jul,08-Oct,0 - 3 ,04-Jul,08-Oct,0 - 3  ,04-Jul,08-Oct,0 - 3   ,04-Jul,08-Oct,0 - 3    ,04-Jul,08-Oct,0 - 3     ,04-Jul,08-Oct,0 - 3      ,04-Jul,08-Oct
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1 Are you...?,Unweighted base,3992,1736,2231,740,1016,966,694,446,130,276,148,744,677,64,683,298,563,260,197,82,253,256,1104,157,520,63,355,120,70,686,48,350,118,326,417,822,98,436,197,1578,967,580,37,994,1187,118,109,87,1417,339,11,1201,726,148,63,2595,1324,73,1062,2477,764,1363,416,832,1396,321,1355,1452,256,411,919,397,662,1390,1940,2438,1092,462,889,1769,1334,1424,1851,717,1493,1885,614,1030,1925,1037,1054,1747,1191
,Weighted base,3920,1856,2030,623,899,918,894,449,138,242,192,690,621,130,572,261,471,309,344,88,269,239,1065,131,505,69,344,108,65,701,60,353,154,382,462,855,109,387,225,1346,991,818,47,1200,676,116,72,67,1184,386,18,1415,577,169,105,2748,1090,83,1191,2258,733,1350,370,857,1400,264,1313,1480,194,357,903,399,660,1407,1853,2431,1090,399,896,1753,1271,1402,1849,669,1476,1879,565,998,1924,999,1069,1735,1116
,Male,47%,100%,0%,48%,44%,45%,53%,45%,56%,45%,51%,50%,47%,49%,58%,32%,41%,45%,47%,44%,49%,42%,51%,49%,44%,56%,45%,43%,48%,47%,50%,43%,56%,47%,46%,47%,57%,48%,47%,46%,43%,44%,27%,48%,59%,43%,50%,50%,44%,53%,50%,49%,48%,46%,34%,46%,50%,38%,45%,49%,49%,48%,53%,48%,47%,50%,46%,46%,51%,52%,49%,42%,58%,50%,41%,45%,50%,56%,54%,48%,42%,51%,46%,43%,53%,43%,46%,55%,48%,39%,56%,45%,42%
,Female,52%,0%,100%,52%,55%,54%,46%,55%,42%,53%,49%,49%,53%,48%,42%,67%,58%,51%,53%,53%,48%,56%,48%,51%,56%,44%,54%,57%,52%,52%,47%,56%,42%,51%,51%,52%,40%,51%,53%,54%,55%,55%,73%,52%,41%,55%,44%,47%,55%,46%,50%,50%,51%,53%,61%,53%,48%,54%,54%,51%,50%,51%,46%,52%,53%,50%,53%,54%,49%,48%,51%,55%,41%,49%,58%,54%,49%,43%,44%,51%,57%,48%,53%,56%,46%,56%,53%,44%,52%,60%,43%,54%,57%
,Other,1%,0%,0%,1%,1%,0%,1%,0%,2%,1%,0%,1%,0%,2%,0%,0%,1%,3%,1%,0%,1%,1%,1%,0%,0%,0%,1%,0%,0%,0%,3%,0%,2%,1%,3%,0%,3%,0%,0%,0%,1%,1%,0%,1%,0%,2%,4%,4%,0%,1%,0%,1%,1%,1%,4%,0%,2%,4%,1%,1%,1%,0%,1%,1%,0%,0%,0%,0%,0%,1%,0%,2%,1%,1%,0%,1%,1%,1%,1%,1%,1%,1%,1%,1%,0%,1%,1%,0%,1%,1%,1%,1%,1%
,Prefer not to say,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,3%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,2%,0%,0%,0%,0%,0%,0%,0%,2%,0%,0%,5%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
,NET,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2 What is your age?,Unweighted base,3993,1736,2231,740,1016,966,694,447,130,276,148,744,677,64,683,298,563,261,197,82,253,256,1104,157,521,63,355,120,70,686,48,350,119,326,417,822,98,436,197,1578,967,580,37,994,1187,118,110,87,1417,339,11,1201,727,148,63,2595,1324,74,1062,2478,764,1363,416,832,1396,321,1355,1452,256,411,919,398,663,1390,1940,2439,1092,462,890,1769,1334,1425,1851,717,1494,1885,614,1031,1925,1037,1055,1747,1191
,Weighted base,3921,1856,2030,623,899,918,894,450,138,242,192,690,621,130,572,261,471,310,344,88,269,239,1065,131,506,69,344,108,65,701,60,353,154,382,462,855,109,387,225,1346,991,818,47,1200,676,116,72,67,1184,386,18,1415,577,169,105,2748,1090,84,1191,2258,733,1350,370,857,1400,264,1313,1480,194,357,903,400,660,1407,1853,2432,1090,399,897,1753,1271,1403,1849,669,1477,1879,565,998,1924,999,1069,1735,1116
,18 - 24,16%,16%,16%,100%,0%,0%,0%,0%,0%,33%,11%,14%,23%,38%,13%,4%,8%,8%,22%,6%,15%,11%,17%,7%,17%,16%,14%,11%,11%,19%,0%,19%,5%,12%,16%,34%,13%,11%,7%,10%,16%,19%,12%,15%,10%,31%,24%,10%,6%,15%,4%,29%,6%,18%,6%,17%,12%,14%,13%,16%,17%,13%,14%,16%,15%,9%,17%,13%,19%,17%,19%,19%,11%,15%,18%,16%,17%,11%,11%,16%,19%,15%,19%,9%,13%,18%,16%,15%,18%,13%,15%,16%,16%
,25 - 34,23%,21%,24%,0%,100%,0%,0%,0%,0%,27%,16%,19%,25%,25%,29%,14%,25%,24%,23%,16%,18%,22%,19%,29%,24%,31%,17%,21%,20%,28%,8%,31%,19%,15%,20%,17%,25%,20%,23%,31%,31%,22%,17%,19%,18%,29%,17%,15%,23%,20%,7%,26%,21%,14%,18%,21%,27%,25%,24%,21%,24%,22%,27%,25%,22%,23%,28%,23%,25%,24%,20%,19%,22%,23%,24%,22%,23%,27%,21%,22%,26%,24%,22%,25%,22%,23%,28%,23%,24%,22%,22%,23%,23%
,35 - 44,23%,22%,24%,0%,0%,100%,0%,0%,0%,24%,18%,24%,25%,23%,23%,15%,26%,25%,23%,34%,21%,25%,23%,25%,27%,36%,23%,22%,17%,21%,32%,23%,30%,20%,20%,17%,30%,24%,20%,29%,27%,17%,27%,24%,26%,14%,25%,11%,24%,27%,18%,24%,21%,18%,23%,23%,24%,23%,22%,25%,26%,24%,26%,21%,22%,26%,22%,23%,26%,27%,20%,27%,23%,25%,23%,22%,24%,31%,22%,23%,25%,23%,22%,29%,23%,22%,30%,23%,22%,26%,22%,22%,26%
,45 - 54,23%,25%,20%,0%,0%,0%,100%,0%,0%,11%,35%,26%,18%,5%,23%,28%,25%,26%,21%,31%,30%,28%,22%,21%,22%,3%,26%,26%,33%,21%,33%,17%,25%,30%,21%,18%,10%,26%,37%,22%,18%,25%,17%,27%,21%,17%,19%,45%,26%,20%,29%,16%,31%,29%,32%,23%,21%,28%,23%,24%,20%,23%,21%,21%,25%,28%,21%,24%,17%,22%,24%,21%,27%,23%,21%,24%,21%,19%,27%,23%,19%,23%,23%,22%,26%,22%,16%,23%,22%,24%,26%,23%,20%
,55 - 64,11%,11%,12%,0%,0%,0%,0%,100%,0%,3%,17%,13%,7%,5%,10%,33%,12%,12%,7%,11%,12%,13%,13%,14%,8%,12%,16%,13%,17%,9%,20%,7%,13%,17%,19%,10%,17%,16%,6%,7%,7%,14%,12%,12%,16%,3%,11%,18%,16%,14%,35%,3%,17%,17%,15%,11%,13%,5%,12%,12%,10%,14%,9%,12%,12%,10%,9%,13%,11%,7%,12%,10%,13%,10%,12%,12%,11%,10%,13%,12%,9%,11%,12%,12%,13%,11%,8%,13%,10%,13%,12%,12%,11%
,65+,4%,4%,3%,0%,0%,0%,0%,0%,100%,2%,3%,5%,2%,5%,2%,6%,4%,6%,4%,1%,4%,1%,6%,2%,2%,2%,3%,7%,3%,2%,7%,3%,8%,5%,3%,4%,6%,3%,7%,2%,2%,3%,15%,2%,9%,5%,5%,0%,4%,5%,6%,2%,3%,4%,6%,4%,3%,6%,6%,2%,3%,5%,1%,4%,4%,4%,3%,4%,2%,3%,4%,3%,5%,4%,3%,4%,4%,3%,6%,4%,2%,4%,3%,3%,4%,3%,3%,5%,3%,3%,4%,3%,4%
,NET,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
